Instance,Variables,Precision_Bits,Status,Phys_Time_ns,Complexity_BitOps
f600.cnf,600,1,TIMEOUT,N/A,1.53e+09
f600.cnf,600,2,TIMEOUT,N/A,3.06e+09
f600.cnf,600,4,TIMEOUT,N/A,2.13e+08
f600.cnf,600,8,SUCCESS,5705.63,3.49e+08
f600.cnf,600,16,SUCCESS,5988.4,7.33e+08
f600.cnf,600,32,SUCCESS,8213.06,2.01e+09
uf20-01.cnf,20,1,TIMEOUT,N/A,5.46e+07
uf20-01.cnf,20,2,TIMEOUT,N/A,1.09e+08
uf20-01.cnf,20,4,SUCCESS,19.76,2.16e+04
uf20-01.cnf,20,8,SUCCESS,21.16,4.62e+04
uf20-01.cnf,20,16,SUCCESS,21.05,9.19e+04
uf20-01.cnf,20,32,SUCCESS,32.35,2.83e+05
uf20-02.cnf,20,1,TIMEOUT,N/A,5.46e+07
uf20-02.cnf,20,2,TIMEOUT,N/A,1.09e+08
uf20-02.cnf,20,4,SUCCESS,14.16,1.55e+04
uf20-02.cnf,20,8,SUCCESS,15.71,3.43e+04
uf20-02.cnf,20,16,SUCCESS,16.53,7.22e+04
uf20-02.cnf,20,32,SUCCESS,16.21,1.42e+05
uf20-03.cnf,20,1,TIMEOUT,N/A,5.46e+07
uf20-03.cnf,20,2,TIMEOUT,N/A,1.09e+08
uf20-03.cnf,20,4,SUCCESS,9.8,1.07e+04
uf20-03.cnf,20,8,SUCCESS,9.21,2.01e+04
uf20-03.cnf,20,16,SUCCESS,10.0,4.37e+04
uf20-03.cnf,20,32,SUCCESS,9.45,8.26e+04
uf20-04.cnf,20,1,TIMEOUT,N/A,5.46e+07
uf20-04.cnf,20,2,TIMEOUT,N/A,1.09e+08
uf20-04.cnf,20,4,SUCCESS,36.46,3.98e+04
uf20-04.cnf,20,8,SUCCESS,92.86,2.03e+05
uf20-04.cnf,20,16,SUCCESS,115.45,5.04e+05
uf20-04.cnf,20,32,SUCCESS,35.28,3.08e+05
